Hi.	مرحبًا.
We've made arrangements for you.	عملنا بعض التحضيرات لأجلك.
Were you at school at that time?	أكنت في المدرسة في ذلك الوقت؟
Were you at school at that time?	هل كنت في المدرسة حينها؟
What are you punishing them for?	ما الذي تعاقبهم عليه؟
What are you thinking about now?	فيمَ تفكّر الآن؟
What did you put into the boxes?	ماذا وضعت في الصناديق؟
What do you do in the afternoon?	ماذا تفعل ظهرا؟
What do you expect to find here?	ماذا تتوقع أن تجد هنا؟
What time does your plane leave?	متى ستغادر طائرتك؟
What time does your plane leave?	في أي وقت ستقلع طائرتك؟
What time does your plane leave?	ما ميعاد إقلاع طائرتك؟
What's the meaning of this word?	ما معنى هذه الكلمة؟
What's the next step to be done?	ما هي الخطوة التالية ليصبح جاهز؟
What's the purpose of your trip?	ما الغرض من رحلتك؟
When did you begin playing golf?	متى بدأت لعب الجولف؟
When did you find out the truth?	متى عرفت الحقيقة؟
Where's the nearest art gallery?	أين أقرب معرض فني؟
Who do you think she lives with?	مع من تظن أنها تسكن؟
Who else can answer my question?	هل هناك شخص آخر بإمكانه الإجابة على سؤالي؟
Who is the boss of this company?	من رئيس هذه الشركة؟
Who is the boss of this company?	من يرأس هذه الشركة؟
Who's the man playing the piano?	من يعزف على البيانو؟
Who's the man playing the piano?	من ذلك الرجل الذي يعزف على البيانو؟
Why couldn't you come yesterday?	لماذا لم تستطع القدوم بالأمس؟
Why couldn't you come yesterday?	لماذا لم تسطيع أن تأتي بالأمس؟
Why do you want to study abroad?	لماذا تريد الدراسة في الخارج؟
Will you sell your house to him?	هل ستبيع منزلك له؟
Will you sell your house to him?	هل ستبيعه بيتك؟
Without air, nothing could live.	من دون الهواء ، لن يبقى شيء على قيد الحياة.
Won't you join our conversation?	هلّا شاركتنا الحديث؟
Would you like to dance with me?	هل ترغب في الرقص معي؟
Would you like to dance with me?	هل ترغبين في الرقص معي؟
Would you like to sell your car?	هل تريدُ أن تبيعَ سيّارتك؟
Yesterday my uncle bought a dog.	اشترى عمي البارحة كلباً.
You ask me to do the impossible.	أنت تطلب مني أن أفعل المستحيل.
You can't do two things at once.	لا يمكنك أن تفعل شيئين في وقت واحد.
You can't do two things at once.	لا يمكنك أن تفعل شيئين في الوقت ذاته.
You can't do two things at once.	لا يمكنك أن تفعل شيئين في الوقت نفسه.
You could come and live with me.	يمكنك المجيء والعيش معي.
You don't have to come tomorrow.	ليس عليك أن تأتي غدًا.
You don't speak English, do you?	أنت لا يمكنك تحدث الإنجليزية، صحيح؟
You must return the book to him.	يجب عليك أن تعيد الكتاب إليه.
You should have seen that movie.	كان عليك مشاهدة ذلك الفلم.
You should keep your desk clean.	ينبغي عليك ان تُبقي مكتبك نظيف
You should keep your room clean.	ينبغي عليك أن تُبقي غرفتك نظيفة
You'd better consult the doctor.	الأفضل أن تستشير الطبيب.
You're Tom's friend, aren't you?	أنت صديق توم، أليس ذلك صحيحاً؟
You're exaggerating the problem.	إنك تعطي المسألة أكثر مما تستحقه.
You're exaggerating the problem.	إنك تكبر المشكلة.
You're exaggerating the problem.	إنك تعطي المسألة أكثر من حقها.
Your chair is identical to mine.	كرسيّك مثل كرسيي تمامًا.
Your chair is identical to mine.	كرسيك مطابقٌ لكرسيي.
Your privacy is important to us.	خصوصيتك مهمة لنا.
Your problem is similar to mine.	مشكلتك شبيهة بمشكلتي.
"Can somebody help me?" "I will."	"هل يستطيع أحدٌ مساعدتي؟" "سأفعل".
"How old are you?" "I'm sixteen."	"كم عمرك؟" "ستة عشر عاماً"
A woman without a man is nothing.	المرأة بلا رجل لا شيء.
Are these my socks or your socks?	هل هؤلاء جواربي أم جواربك؟
At what time does your class end?	في أي وقت ينتهي صفك؟
Be careful when you cross a road.	التمس الحذر وأنت تعبر الطريق.
Because he lied, he was punished.	عوقب على كذبه.
Because he's sick, he can't come.	لن يكون بوسعه القدوم بسبب مرضه.
Because he's sick, he can't come.	لن يستطيع المجيء لأنه مريض.
Can it be phrased in another way?	ألا يمكن صياغتها بطَريقة أخرى؟
Can't you do anything to help me?	ألا تستطيع مساعدتي بأي شيء؟
DNA tests showed he was innocent.	إختبارات الحمض النووي أظهرت أنه برئ.
Do not accept the world as it is.	لا تقبل بالعالم كما هو.
Do you have the key to this door?	ألديك مفتاح هذا الباب؟
Do you know how to open this box?	هل تعرف كيف تفتح هذا الصندوق؟
Do you love each other that much?	هل تحبان بعضكما بعضاً إلى ذلك الحد؟
Do you love each other very much?	هل تحبان بعضكما البعض بشدة؟
Do you love each other very much?	هل تحبان بعضكما كثيرًا؟
Do you really want me to do that?	هل تريدني حقاً أن أفعل هذا؟
Do you really want me to do that?	هل تريديني حقاً أن أفعل هذا؟
Don't interrupt our conversation.	لا تقاطع حديثنا.
Don't trust anybody but yourself.	لا تثق بأحد عدى نفسك.
Don't worry. You can count on me.	لا تقلق. يمكنك الإعتماد علي.
Each cat has its own personality.	كل قطة لها شخصيتها المستقلة.
Each country has its own customs.	كل بلد و له عاداته و تقاليده.
Earthquakes frequently hit Japan.	تضرب الزلازل اليابان بكثرة.
English is studied in China, too.	تُدرْسُ الإنجليزية في الصين أيضًا.
Even children can read this book.	حتى الأطفال بإمكانهم قراءة هذا الكتاب.
Even idiots can give good advice.	خذ الحكمة من أفواه المجانين.
Everyone went there, didn't they?	ذهب الجميع إلى هناك، أليس كذلك؟
Everything is better without you.	كل شيء أفضل من دونك.
For that reason, he lost his job.	من أجل ذلك فقد عمله.
For that reason, he lost his job.	خسر وظيفته لذاك السبب.
Have you ever prayed in a mosque?	هل سبق لك و أن صلّيت في مسجد؟
He always treats me like a child.	هو دائماً ما يتعامل معي كطفل.
He continued walking for a while.	واصل المشي لفترة.
He felt her hand on his shoulder.	شعر بيدها على كتفه.
He gave his life for his country.	أعطى بلده حياته.
He has a car that has four doors.	لديه سيارة بأربعة أبواب.
He is a potential world champion.	بإمكانه أن يصبح بطلاً للعالم.
He is a wolf in sheep's clothing.	هو ذئب في ثياب النعاج.
He is capable of teaching French.	هو قادر على تدريس اللغة الفرنسية.
He is just now speaking with her.	إنه يتحدث الأن معها.
He often drives his father's car.	عادةً ما يقود سيارة أبيه.
He read the letter over and over.	قرأ الرسالة مرة بعد مرة.
He stepped on my foot on purpose.	تعمد أن يدوس على قدمي.
He told me he would go to Venice.	أخبرني أنه سيذهب إلى فينس.
He told me not to drive too fast.	أخبرني ألّا أقود بسرعة عالية.
He told me not to drive too fast.	قال لي ألا أقود بسرعة.
He told me not to drive too fast.	نبهني ألا أقود بسرعة.
He told me not to drive too fast.	نصحني ألا أقود بسرعة.
He told me not to drive too fast.	نهاني عن القيادة بسرعة.
He will arrive in Paris tomorrow.	سوف يصل الى باريس غداً.
He works in the planning section.	يعمل في قسم التخطيط.
His son was expelled from school.	فُصِل ابنه من المدرسة.
How did you know what she wanted?	كيف علمتَ ماذا كانت تريد؟
How did you know what she wanted?	كيفَ علمتيِ ما كانت تريدهُ؟
How many are there in your class?	كم طالبًا في فصلك؟
Hurry up, or you'll miss the bus.	أسرع و إلا فاتك الباص.
I am ashamed of my son's conduct.	أخجلُ من تصرّفِ وَلدي.
I asked Tom to stop following us.	طلبت من توم ألّا يلاحقنا أكثر.
I asked Tom to stop following us.	طلبت من توم أن يتوقف عن ملاحقتنا.
I asked him not to drive so fast.	طلبت منه ألا يقود بسرعة.
I did not mean to disappoint her.	لم أكن أقصد إحباطها.
I didn't know where it came from.	لا أعلم من أين أتت.
I didn't know where it came from.	ليس لدي علم من أين جاءت.
I didn't know where it came from.	لا أعرف ما مصدرها.
I do not think that he will come.	لا أعتقد أنه سيأتي.
I don't expect anything from you.	لا أتوقع منك شيئا.
I don't have a problem with this.	ليس لدي مشاكل مع هذه
I don't have the address with me.	ليس معي العنوان.
I don't know what to do tomorrow.	لا أعرف ما أفعلُهُ غداً.
I don't want to watch that movie.	لا أريد مشاهدة ذلك الفيلم
I feel chilled to the bone today.	أشعر ببرد في عظامي اليوم.
I gave up smoking six months ago.	أقلعت عن التدخين منذ ستة أشهر.
I had a strange dream last night.	حلمت بحلم غريب ليلة الأمس.
I have no time to do my homework.	ليس عندي وقت لأنجز واجباتي.
I have no time to do my homework.	ليس لدي وقت لأنهي فروضي.
I have some pictures to show you.	لدي بعض الصور لأريك.
I just finished reading the book.	أنهيت قراءة الكتاب للتو.
I just wanted to hear your voice.	أردت فقط سماع صوتك.
I love you more than you love me.	أحبك أكثر مما تحبني.
I need to know why you need this.	يجب أن أعرف لماذا تحتاج هذا.
I promise I'll never do it again.	أنا أعد, لن أفعلها مجدداً.
I really didn't mean to hurt you.	لم أقصد أن أوذيك.
I really need to ask you a favor.	أنا حقّا بحاجة لأطلب منك معروفا.
I received your letter yesterday.	وصلتني رسالتك بالأمس.
I received your letter yesterday.	استلمت رسالتك البارحة.
I saw many tourists on the beach.	رأيت الكثير من السياح على الشاطئ.
I should've done this months ago.	كان عليّ فعل هذا منذ أشهر خلت.
I think I can run as fast as Tom.	أظن أنه يمكنني الركض بمثل سرعة توم.
I think life is what you make it.	اعتقد ان الحياة هي ما تصنعه.
I think that she knows the truth.	أعتقد أنها تعرف الحقيقة.
I think you're wasting your time.	أظن أنك تضيع وقتك.
I tore the newspaper into pieces.	مزقت الصحيفة إلى قطع.
I treated her as my own daughter.	عاملتها كأنها بنتي.
I tried not to look disappointed.	حاولت أن لا أظهر بأنني خائب الأمل.
I understand, but I cannot agree.	فهمت، لكني لا أوافق.
I understood the reason for this.	فهمت سبب هذا.
I waited for Tom for a long time.	انتظرت توم لوقت طويل.
I want to ask you one last favor.	أريد أن أطلب منك خدمة أخيرة
I want to be able to read French.	أريد أن أتمكن من قراءة الفرنسية.
I want to see Tom before I leave.	أريد رؤية توم قبل مغادرتي.
I want to tell you what happened.	أريد أن أخبرك ما حدث.
I was nearly run over by a truck.	كادت شاحنةٌ تدهسُنِي.
I was nearly run over by a truck.	أوشكتْ شاحنة على دهسي.
I was vaccinated against the flu.	طُعِّمتُ من الإنفلونزا.
I went to the hospital yesterday.	ذهبت إلى المستشفى البارحة.
I will go there even if it rains.	سأذهب إلى هناك حتى و لو أمطرت.
I wish I could go to the concert.	ليتني كنت أستطيع الذهاب إلى الحفلة الغنائية.
I wish I could go to the concert.	تمنيت لو أنه كان بإمكاني الذهاب إلى الحفلة الغنائية.
I would rather starve than steal.	أفضّل أن أتضوّر جوعاّ على أن أقوم بالسرقة.
I wrote three letters last night.	كتبت ثلاث رسائل ليلة البارحة.
I'd rather be a bird than a fish.	أُفضِّلُ أن أكون عصفورًا على أن أكون سمكة.
I'll get off at the next station.	سأنزل في المحطة القادمة.
I'll never let you do that again.	لن أدعك تفعل ذلك ثانية.
I'll stay there till six o'clock.	سأبقى هناك حتى الساعة السادسة.
I'm going to need some more time.	سأحتاج إلى المزيد من الوقت.
I'm not interested in doing that.	لست مهتمًّا بفعل ذلك.
I'm not sure what I'm looking at.	لست متأكدا على ماذا أنظر.
I'm sure Tom would never do that.	متأكد أن توم لن يفعل ذلك.
I'm the one responsible for that.	انا الوحيد المسؤال عن هذا
I'm three years younger than you.	أنا أصغر منك بثلاث سنين.
I've got to get out of this town.	علي أن أغادر هذه المدينة.
I've heard quite a lot about you.	لقد سمعت الكثير عنك
I've just arrived at the airport.	وصلت إلى المطار للتو.
I've never seen anything like it.	لم أرى شيئا مثله أبدا.
I've waited for more than a week.	انتظرت لأكثر من أسبوع.
If anybody can help us, it's Tom.	إذا كان أحد يستطيع أن يساعدنا, فهوَ توم.
If it smells funny, don't eat it.	إن كانت رائحتة غريبة، فلا تأكله.
If you don't work, you can't eat.	إن لم تعمل لن تستطيع الأكل.
If you don't work, you don't eat.	إن لم تعمل لن تأكل.
It is dangerous to drive so fast.	إنه خطر أن تقود بتهور.
It looks like you are from India.	كأنّك من الهند.
It was a one hundred dollar bill.	إنها مئة دولار.
It was a one hundred dollar bill.	إنها ورقة نقدية من فئة المئة دولار.
It was a one hundred dollar bill.	إنها ورقة نقدية من فئة المائة دولار.
It was an unexpected opportunity.	كانت فرصة غير متوقعة.
It's going to be quite hot today.	سيكون اليوم حار جداً
It's just the tip of the iceberg.	ما هذه إلاّ قمة الجبل الجليدي.
It's not something anyone can do.	ليس شيئًا يمكن لأيّ شخص فعله.
It's not something anyone can do.	ليس أمرًا هيّنًا على أيّ شخص.
Japanese cars sell well overseas.	مبيعات السيارات اليابانية في الخارج جيدة.
Keep children away from medicine.	أبق الدواء بعيدا عن متناول الأطفال.
Keep children away from medicine.	أبق الأطفال بعيدا عن الأدوية.
Kenya became independent in 1963.	استقلت كينيا عام 1963.
Let me know if you hear anything.	أعلمني إن سمعتَ شيئًا.
Let me know if you hear anything.	أعلميني إن سمعتِ شيئًا.
Let's discuss that problem later.	لنناقش هذه المشكلة لاحقاً.
Let's discuss that problem later.	لندع الحديث عن هذه المسألة لوقت آخر.
Look at the blackboard, everyone.	انظروا إلى السبورة ، جميعكم.
Look out! There's a truck coming!	انتبه! هناك شاحنة قادمة!
May I introduce my friend to you?	أعرّفك بصديقي.
Maybe we should take Tom with us.	ربما علينا جلب توم معنا.
Maybe you should turn off the TV.	لربّما عليك إطفاء التلفاز.
Most Englishmen are conservative.	الإنجليز أكثرهم محافظين.
Muammar Kaddafi escaped unharmed.	هرب معمر القذافي سليمًا.
My father bought this hat for me.	اشترى لي أبي هذه القبعة.
My father won't be busy tomorrow.	لن يكون أبي مشغولاً غداً.
My hobby is visiting old temples.	هوايتي زيارة المعابد القديمة.
My mother died during my absence.	ماتت أمي في غيابي.
No one comes to visit me anymore.	لا أحد يأتي لزيارتي بعد الآن.
No one knows his address but Tom.	لا يعرف أحد عنوانه إلّا توم.
One billion people speak English.	يبلغ متحدّثي اللغة الإنجليزية مليار نسمة.
One billion people speak English.	مليار شخص يتكلمون الإنجليزية.
Please call me up if you want me.	أرجو أن تتصل بي إن أردتني.
Please show me something cheaper.	أرني شيئاً أرخص لو سمحت.
Please tell us about your family.	من فضلك ، حدثنا عن عائلتك .
Quite a few people have two cars.	عدد لا يستهان به من الناس يملكون سيارتين.
Remember what happened last year.	ألا تذكر ما حدث السنة الماضية؟
Right now, it is a half past ten.	الساعة الآن العاشرة والنصف.
School begins at half past eight.	تبدأ المدرسة الساعة الثامنة و النصف.
School begins at half past eight.	يبدأ الدوام الدراسي في الثامنة و النصف.
Shall we go to my place or yours?	هل نذهب عندى أم عندك ؟
She didn't give me my money back.	لم تعد إليّ نقودي.
She dived into the swimming pool.	غطست في المسبح.
She put on her coat and went out.	ارتدت معطفها ثم خرجت.
She refused my offer to help her.	رفضت مساعدتي.
She remained single all her life.	ظلت عازبة طيلة حياتها.
She says she will call you later.	قالت بأنها ستتصل بك لاحقاً.
She spent the weekend by herself.	أمضت نهاية الأسبوع كلها لوحدها.
She still depends on her parents.	ما زالت تعتمد على والديها.
She told me an interesting story.	حكت لي قصة شيّقة.
She took a pen out of her pocket.	أخرجت قلماً من جيبها.
She used to work for our company.	كانت تعمل لدى شركتنا.
She waited for you for two hours.	انتظرتك لساعتين.
She was accused of telling a lie.	اتُّهمت بالكذب.
She was afraid to cross the road.	خافت من عبور الشارع.
She was busy with household work.	كانت مشغولة بأعمال البيت.
She was scared to cross the road.	خافت أن تعبر الشارع.
She was very proud of her father.	كانت فخورة للغاية بوالدها.
She was wearing dark brown shoes.	كانت ترتدي حذاءً ذا لون بني غامق.
She went down to the fifth floor.	نزلت إلى الطابق الخامس.
She went to Italy to study music.	ذهبت إلى إيطاليا لتدرس الموسيقى.
She went to the back of the line.	وقفت في آخر الصف.
She went upstairs to her bedroom.	صعدت إلى غرفة نومها في الطابق العلوي.
She's as clever as they make 'em.	إنها حاذقة الذكاء.
Something doesn't make any sense.	شيء ليس منطقيا أبدا.
Take your time. There's no hurry.	خذ وقتك ، لسنا مستعجلين.
Take your time. There's no hurry.	خذ وقتك ، لست في عجلة من أمري.
Tell her not to get near the dog.	قل لها ألّا تقرب الكلب.
Tell me how to solve the problem.	علمني كيف أحل هذه المشكلة.
Tell me how to solve the problem.	أخبرني كيف أحل هذه المسألة.
Tell me where to put these books.	أخبرني أين أضع هذه الكتب.
Ten teams competed for the prize.	تنافس عشر فرق على الجائزة.
That was the best day of my life.	كان ذلك أجمل يوم في حياتي.
That was the best day of my life.	كان ذلك أفضل يوم من أيام عمري.
That's a hard question to answer.	هذا سؤال صعب.
That's a hard question to answer.	ذلك سؤال صعبٌ الإجابة عليه.
That's certainly one possibility.	هذا أحد الاحتمالات بالتأكيد
The air conditioner doesn't work.	المكيّف لا يعمل.
The airplane made a safe landing.	هبطت الطائرة بسلام.
The bridge is under construction.	الجسر في طور البناء.
The bullet went through his body.	إخترقت الرصاصة جسده.
The butcher is weighing the meat.	الجزار يوزن اللحم
The clock is above the fireplace.	الساعة مثبتة فوق الحائط.
The conference will end tomorrow.	سيختتم المؤتمر أعماله غداً.
The conference will end tomorrow.	سينتهي المؤتمر غداً.
The doctor examined the patients.	فحص الطبيب المرضى.
The door remained closed all day.	بقي الباب مغلقًا طوال اليوم.
The flood caused a lot of damage.	تسببت الفيضانات بخسائر فادحة.
The floor was covered with blood.	كانت الأرض مغطاة بالدم.
The lake is a long way from here.	البحيرة بعيدة جداً عن هنا.
The lecture lasted for two hours.	استمرت المحاضرة مدة ساعتين.
The lecture lasted for two hours.	استمرت المحاضرة ساعتين.
The man kept talking for an hour.	استمر الرجل بالكلام لمدة ساعة.
The painting is all but finished.	مازال الرسم بعيدا عن الاكتمال.
The park is filled with children.	الحديقة العامة مليئة بالأطفال.
The park is filled with children.	تعجّ الحديقة بالأطفال.
The plane crashed into the house.	تحطّمت الطّائرة على المنزل.
The police accused him of murder.	اتهمته الشرطة بالقتل.
The police accused him of murder.	وجهت الشرطة إليه تهمة ارتكاب جريمة قتل.
The police didn't find any clues.	لم تعثر الشرطة على أية أدلة.
The smell of food made me hungry.	جعلتني رائحة الطعام جائعاً.
The speech lasted thirty minutes.	استمرت الخطبة ثلاثين دقيقة.
The speech lasted thirty minutes.	دامت الخطبة ثلاثين دقيقة.
The station is not far from here.	لا تبعد المحطة كثيراً عن هنا.
The station is not far from here.	المحطة ليست بعيدة عن هنا.
The storm caused a lot of damage.	أحدثت العاصفة الكثير من الخسائر.
The storm caused a lot of damage.	تسببت العاصفة بخسائر فادحة.
The train leaves at nine o'clock.	يغادر القطار في الساعة التاسعة.
The washbasin is made of granite.	المغسلة صنعت من الجرانيت
Their friendship moved us deeply.	أثّرتْ فينا صداقتهم بشدة.
There are many islands in Greece.	هناك الكثير من الجُزُر في اليونان.
There are some books on the desk.	هناك بعض الكتب على المكتب.
There is a big market for coffee.	هناك سوق كبيرة للقهوة.
There is no hope of his recovery.	ليس هناك أمل بتعافيه.
There is no sign of life on Mars.	لا يوجد آثار حياة فوق سطح كوكب المريخ.
There is no sign of life on Mars.	لا أثر لوجود حياة على سطح كوكب المريخ.
There is nothing to be scared of.	لا يوجد أي شيء مدعاة للخوف.
There was a light rain yesterday.	أمطرت مطراً خفيفاً البارحة.
They are having a party tomorrow.	سيقيمون حفلة غداً.
They are proud of their daughter.	إنهما فخوران بابنتهما.
They gave him a chance to escape.	أعطوه فرصة للهروب.
They had a dent in the rear door.	لديهم بعجة في الباب الخلفي .
They had to stay at home all day.	كان عليهم البقاء في المنزل طوال اليوم.
They were listening to the radio.	كانوا يستمعون إلى المذياع.
They will get married next month.	سيتزوجا الشهر القادم.
They're treating me like a child.	إنهم يعاملوني كطفل.
This T-shirt is too small for me.	هذا القميص صغير عليّ.
This boat is no longer seaworthy.	هذا القارب لم يعد صالحاً للإبحار.
This book belongs to the library.	هذا الكتاب ملكٌ للمكتبة.
This book contains many pictures.	يحتوي هذا الكتاب على صور كثيرة.
This book is easy for me to read.	هذا الكتاب سهل علي قراءته.
This book is hard for me to read.	يصعب علي قراءة هذا الكتاب.
This book is hard for me to read.	بالنسبة لي، هذا الكتاب صعب القراءة.
This book is older than that one.	هذا الكتاب أقدم من ذاك.
This book is unique in many ways.	هذا الكتاب مميز في نواحي عديدة
This book was printed in England.	طبع هذا الكتاب في انجلترا.
This car is bigger than that one.	هذه السيارة أكبر من تلك.
This desk takes up too much room.	هذا المكتب يأخذ مساحة كبيرة.
This dog was born two months ago.	وُلد الكلب منذ شهرين.
This doll is a gift from my aunt.	تلك الدمية هدية من عمتي.
This doll is a gift from my aunt.	هذه الدمية هدية من خالتي.
This is a very important meeting.	هذا اجتماع مهم.
This is the only camera I've got.	هذه هي الكاميرا الوحيدة لدي.
This is what I found in the cave.	هذا ما وجدته في الكهف.
This knife was very useful to me.	هذه السكين أفادتني كثيرًا.
This movie is worth seeing again.	هذا الفلم يستحق المشاهدة لمرة ثانية.
This sentence doesn't make sense.	هذه الجملة ليس لها أي معنى.
This story has an unhappy ending.	لهذه القصّة نهاية حزينة.
This tie doesn't go with my suit.	ربطة العنق هذه لا تليق ببزتي.
Tom almost forgot the conference.	توم تقريباً نسيَ المؤتمر.
Tom and Mary are playing mahjong.	ماري وتوم يلعبون ما جونج.
Tom came up with a new technique.	جاء توم بتقنية جديدة.
Tom can't speak very much French.	لا يستطيع توم التكلم بالفرنسية كثيرا.
Tom couldn't hold back his tears.	لم يستطع توم أن يمنع دموعه.
Tom couldn't stand it any longer.	لم يكن يعد توم يطيقه أكثر من ذلك.
Tom doesn't like Mary's attitude.	توم لا يحب سلوك ميري.
Tom doesn't need to buy anything.	لا يحتاج توم لشراء أي شيء.
Tom is getting married on Monday.	سيتزوج توم يوم الاثنين.
Tom is living with his uncle now.	توم يعيش مع عمه الآن.
Tom likes tea better than coffee.	توم يحب الشاي أكثر من القهوة.
Tom lives in a poor neighborhood.	يسكن توم في حي فقير.
Tom pretended he didn't see Mary.	تظاهر توم بأنه لم يرى ماري.
Tom served two terms in Congress.	خدم توم فترتين في الكونغرس.
Tom stole money from his friends.	سرق توم مالًا من أصدقائه.
Tom turned on the kitchen faucet.	توم أفتح صنبور المطبخ
Tom wanted to have dinner in bed.	توم أراد العَشَاء في السرير.
Tom was extraordinarily handsome.	توم كان وسيماً للغاية.
Tom was supposed to meet me here.	كان مفترضا أن يقابلني توم هنا.
Tom went downtown this afternoon.	ذهب توم لمركز المدينة بعد الظهر.
Tom went to Boston with a friend.	ذهب توم إلى بوسطن مع صديق.
Tom's clothes are out of fashion.	ملابس توم موضة قديمة.
Tomorrow is my first day of work.	غدا هو أول يوم عمل لي.
Translate this book into English.	تَرجمْ هذا الكتابَ إلى الأنجليزيّة.
We accept all major credit cards.	نقبل الدفع بأي نوع من بطاقات الإئتمان المعروفة.
We agreed to share the housework.	اتفقنا على توزيع مهام تنظيف البيت فيما بيننا.
We are going to Germany tomorrow.	سنذهب إلى ألمانيا غداً.
We are going to a dance tomorrow.	سنذهب إلى حفلة رقص غداً.
We arrived at the office on time.	وصلنا إلى المكتب في الوقت المطلوب.
We came back by way of Hong Kong.	عدنا بالمرور من خلال هونج كونج.
We enjoyed swimming in the river.	تمتعنا بالسباحة في النهر.
We felt the house shake a little.	شعرنا بالبيت يهتز قليلاً.
We got up at four in the morning.	استيقظنا في الرابعة صباحاً.
We had a good time playing cards.	أمضينا وقتاً ممتعاً و نحن نلعب الورق.
We had a good time playing chess.	أمضينا وقتاً ممتعاً و نحن نلعب الشطرنج.
We had no choice but to go there.	لم يكن لدينا خيار إلا الذهاب إلى هناك.
We have breakfast in the kitchen.	نأكل طعام الفطور في المطبخ.
We have little chance of winning.	فرصتنا في الفوز ضئيلة.
We have to be ready for anything.	يجب ان نكون مستعدين لأي شيء
We live in a three-bedroom house.	نعيش في بيت فيه ثلاثة غرف نوم.
We must cancel our trip to Japan.	علينا أن نلغي رحلتنا إلى اليابان.
We must not speak in the library.	علينا ألّا نتكلم في المكتبة.
We sat in the center of the room.	جلسنا وسط الغرفة.
We sat in the center of the room.	قعدنا في وسط الحجرة.
We saw a funny movie last Sunday.	شاهدنا فلماً مضحكاً يوم الأحد الماضي.
We should have been more careful.	كان من المفترض أن نكون حذرين أكثر.
We stayed there for three months.	سكنّا هناك ثلاثة أشهر.
We stayed there for three months.	بقينا هناك لمدة ثلاثة شهور.
We still have a lot of food left.	ما زال لدينا الكثير من الطعام.
We walked for about 6 kilometers.	مشينا ست كيلومترات.
We watched the soccer game on TV.	شاهدنا مباراة كرة القدم على التلفاز.
We went out in spite of the rain.	خرجنا بالرغم من هطول المطر.
We went to the movies last night.	ذهبنا لمشاهدة فيلم ليلة البارحة.
We will play soccer after school.	سنلعب كرة القدم بعد المدرسة.
We're going to Boston to see Tom.	سوف نذهب إلى بوسطن حتى نرى توم.
We're going to have a test today.	سيكون لدينا اختبار اليوم.
What are you going to do tonight?	ماذا ستفعل الليلة؟
What are you going to do with it?	ماذا ستفعل بها؟
What did you do on your vacation?	ماذا فعلت في إجازتك؟
What did you do with that camera?	ماذا فعلت بتلك الكاميرا؟
What did you do with that camera?	ما الذي فعلته بآلة التصوير تلك؟
What did you do with those books?	ماذا فعلت بتلك الكتب؟
What did you do with those books?	ما الذي فعلته بالكتب؟
What did you major in at college?	ما الشهادة التي تخرجت بها من الجامعة؟
What did you major in at college?	أي تخصص درست في الجامعة؟
What did you major in at college?	ما المجال الذي قمت بدراسته في الجامعة؟
What do you do in your free time?	ما الذي تفعله بوقت فراغك؟
What do you say to taking a rest?	ما رأيك أن تأخذ استراحة؟
What do you think about that now?	ما رأيك في ذلك الآن؟
What do you think of my new coat?	ما رأيك بمعطفي الجديد؟
What he needs most is a good job.	ما يحتاجه حقاً هو وظيفة جيدة.
What is the matter with your car?	ما مشكلة سيارتك؟
What made you come here so early?	ما الذي جاء بك إلى هنا باكراً هكذا؟
What season do you like the best?	أي فصل من فصول السنة تحب أكثر؟
What time do you leave your work?	في أي وقت تخرج من عملك؟
What were you doing at that time?	ما الذي كنت تفعله آن ذاك؟
What you're suggesting is stupid.	ما تقترحه غباء.
What's everyone eating for lunch?	ماذا ستأكلون على الغداء؟
When did the accident take place?	متى حصل الحادث؟
When did you change your address?	متى غيرت عنوانك؟
When did you get up this morning?	متى استيقظت هذا الصباح؟
Whenever I see you, I feel happy.	أشعر بالسعادة كلما أراك.
Whenever they meet, they quarrel.	كلما تقابلا بدآ بالجدال.
Whenever they meet, they quarrel.	كلما تقابلا تجادلا.
Where are you going to eat lunch?	أين ستأكل طعام الغداء؟
Where in Austria did you grow up?	في أي مكان في النمسا تربيت؟
Where would you like to go first?	إلى أين تفضل أن تذهب أولاً؟
Whether he comes or not, I'll go.	سأذهب بغض النظر عن مجيئه.
Who does this suitcase belong to?	من مالك تلك الحقيبة؟
Who is the woman dressed in pink?	من تلك المرأة التي ترتدي فستاناً وردياً؟
Why are Chinese tourists so rude?	لماذا السياح الصينيون فظين لدرجة ؟
Why do these things happen to me?	لماذا تحدث هذه الأشياء لي؟
Why don't we have lunch together?	لمَ لا نأكل طعام الغداء معاً؟
Why don't you sit down and relax?	لمَ لا تجلس و تستريح؟
Will he be able to come tomorrow?	هل سيتمكن من القدوم غداً؟
Will she go to America next year?	هل ستذهب إلى أمريكا العام المقبل؟
Will we be in time for the train?	هل سنلحق بالقطار؟
Will you go to America next year?	هل ستذهب إلى أمريكا السنة القادمة؟
Will you go to the party tonight?	هل ستحضر حفلة الليلة؟
Will you go to the party tonight?	هل ستذهب إلى الحفلة الليلة؟
Will you lend me your dictionary?	أيمكنك أن تعيرني قاموسك؟
Will you lend me your dictionary?	هل يمكنك إعارتي قاموسك؟
Would three o'clock be all right?	هل الساعة الثالثة توقيت مناسب؟
Would you ever go skinny dipping?	هل لك ان تذهب للسباحة عارياً.
Would you like me to call a taxi?	هل تريدني أن أستدعي لك سيارة أجرة؟
Would you mind shutting the door?	هل لك أن تغلق الباب؟
Would you mind shutting the door?	أيمكنك أن تقفل الباب؟
